course_id,course_name,credits,category,prereq,notes
ENGL4370,Newspaper Editing,,GenEd_AH,,
ENGL4500,Writing Workshop,,GenEd_AH,,
ENGL4790,Literature Seminar,,GenEd_AH,,
ENGL4900,Directed Studies in Writing,,GenEd_AH,,
ENGL4910,Directed Study in Literature,,GenEd_AH,,
ENGL4920,Dir Study in Lang Analysis,,GenEd_AH,,
ENGL4930,Dir Study in Creative Writing,,GenEd_AH,,
ENGL4960,Internship I,,GenEd_AH,,
ENGL4970,Practicum,,GenEd_AH,,
ENGL4980,Practicum-English Study,,GenEd_AH,,
GNDR2400,Introduction to Gender Studies,,GenEd_AH,,
HONR1100,FYSH: Text in the City,,GenEd_AH,,
HONR3300,Spec Top in Honors (AH),,GenEd_AH,,
MUED1000,Observation Lab I,,GenEd_AH,,
MUED1410,Intro To Brass Pedagogy,,GenEd_AH,,
MUED1420,Intro to Brass Pedagogy,,GenEd_AH,,
MUED1430,Intro to Guitar Pedagogy,,GenEd_AH,,
MUED1440,Intro to Woodwind Pedagogy I,,GenEd_AH,,
MUED1450,Intro to Woodwind Pedagogy,,GenEd_AH,,
MUED1510,Intro To Music Ed,,GenEd_AH,,
MUED1620,Intro to Percusion Pedagogy,,GenEd_AH,,
MUED2000,Observation Lab 2,,GenEd_AH,,
MUED2120,Special Topics:Sound Thinking,,GenEd_AH,,
MUED2410,Intro to String Pedagogy,,GenEd_AH,,
MUED2420,Intro to String Pedagogy,,GenEd_AH,,
MUED2440,Intro to Voice Pedagogy,,GenEd_AH,,
MUED2450,Intro to Voice Pedagogy,,GenEd_AH,,
MUED2470,Intro to Prac. Accompanying,,GenEd_AH,,
MUED2490,Prog. Perf. & Prod. Pedagogy,,GenEd_AH,,
MUED3000,Observation Lab 3,,GenEd_AH,,
MUED3010,Technology In Music Ed,,GenEd_AH,,
MUED3940,Choral Repert & Rehears Tech,,GenEd_AH,,
MUED4000,Observation Lab 4,,GenEd_AH,,
MUED4100,Global Music for Classroom,,GenEd_AH,,
MUED4200,General Music Methods 1,,GenEd_AH,,
MUED4300,General Music Methods 2,,GenEd_AH,,
MUED4920,Instrumental Rep & Rehearsal,,GenEd_AH,,
MUED4930,Instru Ensemble Lab,,GenEd_AH,,
MUED4940,Choral Ensemble Lab,,GenEd_AH,,
MUED4960,Dir St: Music Ed,,GenEd_AH,,
MUED5000,Global Music for Classroom,,GenEd_AH,,
MUED5010,Intro To Brass Pedagogy,,GenEd_AH,,
MUED5030,Intro to Guitar Pedagogy,,GenEd_AH,,
