course_id,course_name,credits,category,prereq,notes
POLI2010,Intro Political Analysis,,GenEd_SS,,
POLI2110,Med.& Pol. Around the World,,GenEd_SS,,
POLI2120,American Media and Politics,,GenEd_SS,,
POLI2150,African Politics,,GenEd_SS,,
POLI2180,Intro to Politics & Sports,,GenEd_SS,,
POLI2220,Politics of the Internet,,GenEd_SS,,
POLI2300,Law and the Legal System,,GenEd_SS,,
POLI2310,Intro Political Thought,,GenEd_SS,,
POLI2350,Intro Law & Pol of Const Dev,,GenEd_SS,,
POLI2510,Politics of Identity,,GenEd_SS,,
POLI2530,Intro to Public Admin & Policy,,GenEd_SS,,
POLI2650,State and Local Politics,,GenEd_SS,,
POLI3010,Research Methods in Pol Sci,,GenEd_SS,,
POLI3020,Research & Writing for Pol.Sci,,GenEd_SS,,
POLI3040,Politics of Development,,GenEd_SS,,
POLI3070,American Political Thought,,GenEd_SS,,
POLI3090,Political Psychology,,GenEd_SS,,
POLI3100,'Isms' in American Politics,,GenEd_SS,,
POLI3110,Found.of Law: Process & Skills,,GenEd_SS,,
POLI3120,Campaign and Election law,,GenEd_SS,,
POLI3130,Electoral Politics,,GenEd_SS,,
POLI3140,Parties and Interest Groups,,GenEd_SS,,
POLI3160,Politics & Film,,GenEd_SS,,
POLI3190,Survey Research,,GenEd_SS,,
POLI3200,Gender Law and Politics,,GenEd_SS,,
POLI3210,Soccer and Politics,,GenEd_SS,,
POLI3230,Politics and Baseball,,GenEd_SS,,
POLI3240,Politics of Football,,GenEd_SS,,
POLI3270,Dynamics of Sexual Politics,,GenEd_SS,,
POLI3290,Politics of College Sports,,GenEd_SS,,
POLI3310,Animal Rights & Animal Welfare,,GenEd_SS,,
POLI3320,The Politics of Food,,GenEd_SS,,
POLI3350,Constitutional Law & Politics,,GenEd_SS,,
POLI3370,Civil Liberties Law & Politics,,GenEd_SS,,
POLI3380,Political Participation,,GenEd_SS,,
POLI3390,Judicial Review Seminar,,GenEd_SS,,
POLI3400,American Politics & Law,,GenEd_SS,,
POLI3410,Equal Rights,,GenEd_SS,,
POLI3430,Congress,,GenEd_SS,,
POLI3440,American Presidency,,GenEd_SS,,
POLI3490,Politics of Race and Ethnicity,,GenEd_SS,,
POLI3500,Urban Politics and Policy,,GenEd_SS,,
POLI3510,Irish Politics,,GenEd_SS,,
POLI3530,Public Policy & Administration,,GenEd_SS,,
POLI3550,Government Fiscal Policy,,GenEd_SS,,
POLI3560,Public Policy Analysis,,GenEd_SS,,
POLI3570,Thoreau in Our Time,,GenEd_SS,,
POLI3580,Global Environmental Policy,,GenEd_SS,,
POLI3590,British Politics,,GenEd_SS,,
POLI3600,European Politics,,GenEd_SS,,
POLI3610,Southeast Asian Politics,,GenEd_SS,,
POLI3630,Politics of China,,GenEd_SS,,
POLI3660,Russian Politics,,GenEd_SS,,
POLI3680,Middle Eastern Politics,,GenEd_SS,,
POLI3700,Latin American Politics,,GenEd_SS,,
POLI3710,Caribbean Politics,,GenEd_SS,,
POLI3720,"Crime,Sec.Democ.in Latin Am.",,GenEd_SS,,
POLI3740,Democracy & Development,,GenEd_SS,,
POLI3750,Politics of Pacific Rim,,GenEd_SS,,
POLI3780,Internatnl Political Economy,,GenEd_SS,,
POLI3790,Reading in Pol.Theory,,GenEd_SS,,
POLI3800,American Foreign Policy,,GenEd_SS,,
POLI3840,Int Politics of Human Rights,,GenEd_SS,,
POLI3870,Politics of Int Organizations,,GenEd_SS,,
POLI3900,Defense & Disarmament,,GenEd_SS,,
POLI3950,International Law & Politics,,GenEd_SS,,
POLI3970,Seminar: Labor Law & Politics,,GenEd_SS,,
POLI3980,The War on Drugs,,GenEd_SS,,
POLI4010,Research Seminar,,GenEd_SS,,
POLI4020,Women in Islam,,GenEd_SS,,
POLI4060,Politics of Identity/Middle Ea,,GenEd_SS,,
POLI4100,Smr Inst Intshp Amer Pol,,GenEd_SS,,
POLI4110,Dynamics Power and Authority,,GenEd_SS,,
POLI4200,Rs & Sim Exp Intl Orgs,,GenEd_SS,,
POLI4220,SMR: Pol Comm & Media Studies,,GenEd_SS,,
POLI4390,JusticeTrade in the Glob.Econ,,GenEd_SS,,
POLI4400,Comparative National Security,,GenEd_SS,,
POLI4440,Advanced Research Methods,,GenEd_SS,,
POLI4450,Politics/Repression & Dissent,,GenEd_SS,,
POLI4460,Discord/Arab East & The West,,GenEd_SS,,
POLI4470,Theories of Pol.Crim Violence,,GenEd_SS,,
POLI4900,War & Peace in Sov. State Sys.,,GenEd_SS,,
POLI4910,Directed Study,,GenEd_SS,,
POLI4920,Dir Study In Intl Orgs,,GenEd_SS,,
POLI4960,Exp. Learning in Political Sci,,GenEd_SS,,
POLI4970,Practicum in Law Requirement,,GenEd_SS,,
POLI4980,Res & Int/Serv Exp Pol/Law,,GenEd_SS,,
POLI5001,Islam and Politics,,GenEd_SS,,
POLI5002,Islamic Act.& Polit. Ideolog.,,GenEd_SS,,
POLI5110,Dynamics Power and Authority,,GenEd_SS,,
POLI5440,Advanced Research Methods,,GenEd_SS,,
PSYC1010,Intro to Psychological Science,,GenEd_SS,,
PSYC2010,Prof.Development in Psychology,,GenEd_SS,,
PSYC2090,Social Psychology,,GenEd_SS,,
PSYC2320,Psychology of Personality,,GenEd_SS,,
PSYC2550,Community Psychology,,GenEd_SS,,
PSYC2600,Child & Adolescent Development,,GenEd_SS,,
PSYC2690,Research I: Methods,,GenEd_SS,,
PSYC2720,Abnormal Psychology,,GenEd_SS,,
PSYC2730,Biological Psych,,GenEd_SS,,
PSYC2760,Theories of Learning,,GenEd_SS,,
PSYC2770,Sensation and Perception,,GenEd_SS,,
PSYC2780,Cognitive Psychology,,GenEd_SS,,
PSYC3050,Psychology and Law,,GenEd_SS,,
PSYC3080,Industrial/Organizational Psyc,,GenEd_SS,,
PSYC3120,Learning & Behavior,,GenEd_SS,,
PSYC3280,Dynamics of Interpersonal Rel,,GenEd_SS,,
PSYC3320,History of Psychology,,GenEd_SS,,
PSYC3330,Psych of Consciousness,,GenEd_SS,,
PSYC3350,Psychology & Women,,GenEd_SS,,
PSYC3360,Culture and Psychology,,GenEd_SS,,
PSYC3370,Community & Social Change,,GenEd_SS,,
PSYC3450,Health Psychology,,GenEd_SS,,
PSYC3510,Human Sexuality,,GenEd_SS,,
PSYC3520,Psychological Testing,,GenEd_SS,,
PSYC3550,Sport & Exercise Psychology,,GenEd_SS,,
PSYC3600,Adult Development and Aging,,GenEd_SS,,
PSYC3610,Developmental Psychopathology,,GenEd_SS,,
PSYC3620,Psych of Develop Disabilities,,GenEd_SS,,
PSYC3630,Intro to Disability Studies,,GenEd_SS,,
PSYC3680,Psychology of Decision-Making,,GenEd_SS,,
PSYC3690,Research II: Statistics,,GenEd_SS,,
PSYC3720,Comp.Psy: Animal Behavior,,GenEd_SS,,
PSYC4690,Research III: Laboratory,,GenEd_SS,,
PSYC4710,Sem in Community Psychology,,GenEd_SS,,
PSYC4711,Sem. Community Psyc: Racism,,GenEd_SS,,
PSYC4712,Sem in Comm. Psyc: Immigration,,GenEd_SS,,
PSYC4713,Sem Comm Psy: Prev. Youth Viol,,GenEd_SS,,
PSYC4714,Sem Comm Psyc: Bridging Diff.,,GenEd_SS,,
PSYC4720,Sem in Personality Psychology,,GenEd_SS,,
PSYC4730,Sem. in Social Psychology,,GenEd_SS,,
PSYC4731,Sem. Soc.Psyc:Social (In)just.,,GenEd_SS,,
PSYC4732,Sem Soc Psyc: Ach.Motivation,,GenEd_SS,,
PSYC4733,Sem Soc Psyc:Mind-Body Per.,,GenEd_SS,,
PSYC4734,Sem Soc Psyc:Health Campaigns,,GenEd_SS,,
PSYC4735,Sem Soc psyc:Wkplace Diversity,,GenEd_SS,,
PSYC4736,Sem Soc Psyc: Psyc of Sustain.,,GenEd_SS,,
PSYC4740,Sem: Developmental Psych,,GenEd_SS,,
PSYC4741,Sem Dev.Psyc:Adolescent Ident.,,GenEd_SS,,
PSYC4742,Sem Dev Psyc:Psyc of Education,,GenEd_SS,,
PSYC4743,Sem Dev Psyc: Role Truma Child,,GenEd_SS,,
PSYC4750,Sem. in Clinical Psychology,,GenEd_SS,,
PSYC4751,Sem Clin Psyc:Women's Health,,GenEd_SS,,
PSYC4752,Sem Clin Psych: Autism,,GenEd_SS,,
PSYC4753,Sem Clin Psyc:Hlth Psy & Behav,,GenEd_SS,,
PSYC4754,Sem Clin Psyc:Lang.Assmnt.Int,,GenEd_SS,,
PSYC4755,Sem Clin Psyc: Aut.Adol.Yng.Ad,,GenEd_SS,,
PSYC4756,Sem Clin Psyc:Sexual Offending,,GenEd_SS,,
PSYC4770,Sem. in Contemporary Trends,,GenEd_SS,,
PSYC4771,Sem Contemp.Trends: Addictions,,GenEd_SS,,
PSYC4772,Sem Contemp Trends: Psyc & Law,,GenEd_SS,,
PSYC4773,Sem Cont Trends: Gen Iden Rel,,GenEd_SS,,
PSYC4774,Sem Cont.Trends: Psyc.Global.,,GenEd_SS,,
PSYC4780,Sem. in Cognitive Psychology,,GenEd_SS,,
PSYC4781,Sem Cognitive Psyc: Educ.App.,,GenEd_SS,,
PSYC4790,Sem. in Behavioral Psychology,,GenEd_SS,,
PSYC4800,Concentration Practicum I,,GenEd_SS,,
PSYC4810,Concentration Practicum II,,GenEd_SS,,
PSYC4820,Dvptl Dis.Fldwrk:Ser.Provision,,GenEd_SS,,
PSYC4830,Dvptl Dis.Fldwrk:LedrshpAdvoc,,GenEd_SS,,
PSYC4860,Community Service Learning,,GenEd_SS,,
PSYC4880,Research Service Learning,,GenEd_SS,,
PSYC4910,Dir St: Psychology,,GenEd_SS,,
PSYC4920,Ungrd.Thesis in Psychology I,,GenEd_SS,,
PSYC4930,Ugrd. Thesis in Psychology II,,GenEd_SS,,
PSYC4960,Practicum in Psychology,,GenEd_SS,,
PSYC5000,Intro to Community Soc Psych,,GenEd_SS,,
PSYC5010,Applied Developmental Psych,,GenEd_SS,,
PSYC5020,Sem in Community Social Psych,,GenEd_SS,,
PSYC5030,Applied Social Psychology,,GenEd_SS,,
PSYC5040,The Family System,,GenEd_SS,,
PSYC5090,Psych Approach/Child Maltreat,,GenEd_SS,,
PSYC5120,Applied Research Methods,,GenEd_SS,,
PSYC5220,Psychology of Diversity,,GenEd_SS,,
PSYC5230,Women in the Community,,GenEd_SS,,
PSYC5260,Workplace Diversity,,GenEd_SS,,
PSYC5270,Immigrant Psych & Communities,,GenEd_SS,,
PSYC5420,Working with Groups,,GenEd_SS,,
PSYC5430,Psychology and Law,,GenEd_SS,,
PSYC5450,Community and Org Change,,GenEd_SS,,
PSYC5460,Grant Writing,,GenEd_SS,,
PSYC5610,Intro to Behav Intrv in Autism,,GenEd_SS,,
PSYC5611,Intro.Behav.Intrv. Autism 3rd,,GenEd_SS,,
PSYC5620,TeachPosBehavSupport/Autism,,GenEd_SS,,
PSYC5621,Tchng.Pos.Behav.Supp.Autsm 3rd,,GenEd_SS,,
PSYC5630,Mgt.Strat.App.Beh.Intervention,,GenEd_SS,,
PSYC5650,Meas & Exp Design/Behav Interv,,GenEd_SS,,
PSYC5651,Measmnt.Exp.Des.Behvl.Inter.3r,,GenEd_SS,,
PSYC5660,Funct AnalysisTreat/ChalBehav,,GenEd_SS,,
PSYC5661,Fun.Analysis Trment.Chal.Beh.,,GenEd_SS,,
PSYC5680,Behav Interv Prg Models/Autism,,GenEd_SS,,
PSYC5681,Beh.Inter.Prog.Mod.in Aut. 3rd,,GenEd_SS,,
PSYC5710,Autism & Dev. Psychopathology,,GenEd_SS,,
PSYC5720,Legal & Eth. Iss.in Prof.Prac.,,GenEd_SS,,
PSYC5740,Comm.Soc.Interventions Autism,,GenEd_SS,,
PSYC5860,Community Service Learning,,GenEd_SS,,
PSYC5880,Advanced Cognition,,GenEd_SS,,
PSYC6110,Program Evaluation,,GenEd_SS,,
PSYC6250,Adv Community Dynamics:Lowell,,GenEd_SS,,
PSYC6310,Cpstne.Pract.I Comm.Soc.Psy.,,GenEd_SS,,
PSYC6320,Cpstne.Prac.II Comm.Soc.Psyc.,,GenEd_SS,,
PSYC6400,Theories of Change Psyc,,GenEd_SS,,
PSYC6410,Fundamentals of Prevention Sci,,GenEd_SS,,
PSYC6500,Advanced Quantitative Methods,,GenEd_SS,,
PSYC6630,Expermtl. Analysis of Behavior,,GenEd_SS,,
PSYC6640,Child Maltreatment,,GenEd_SS,,
PSYC6650,Adv. Comm. Social Psychology,,GenEd_SS,,
PSYC6670,Adv. App. Cognitive Psychology,,GenEd_SS,,
PSYC6680,Primary Care Behavioral Health,,GenEd_SS,,
PSYC6690,Adv. App. Develop. Psychology,,GenEd_SS,,
PSYC6710,Supvsd Prac in B.I.A: I,,GenEd_SS,,
PSYC6720,Supervised Prac.in B.I.A.:II,,GenEd_SS,,
PSYC6730,Supvsd.Prac.in B.I.A: III,,GenEd_SS,,
PSYC6750,Seminar in Health Psychology,,GenEd_SS,,
PSYC6760,Seminar in Language Acquis.,,GenEd_SS,,
PSYC6770,Applying Cognitive Psychology,,GenEd_SS,,
PSYC6780,Seminar in Metacognition,,GenEd_SS,,
PSYC6790,Psychology and Law,,GenEd_SS,,
PSYC6800,Aging and Community,,GenEd_SS,,
PSYC6810,Health Camp.: Effects & Proc.,,GenEd_SS,,
PSYC6910,Dir Study: CommSocPsychology,,GenEd_SS,,
PSYC6920,Directed Study in Autism,,GenEd_SS,,
PSYC6930,Directed Study in APPS,,GenEd_SS,,
PSYC7010,Narrative Methods,,GenEd_SS,,
PSYC7020,Participatory Action Research,,GenEd_SS,,
PSYC7030,Selected Topics in APPS,,GenEd_SS,,
PSYC7050,Intro Structural Eq.Modeling,,GenEd_SS,,
PSYC7220,Master's Project in Autism,,GenEd_SS,,
PSYC7330,Master's Proj in Comm-Soc Psyc,,GenEd_SS,,
